fare_product_id,fare_product_name,amount,currency,duration_start,duration_amount,duration_unit,duration_type,rider_category_id,fare_media_id
AF:local:single,Angel Island Tiburon Ferry Round-Trip Ticket,18.00,USD,,,,,AF:adult,cash
AF:local:single,Angel Island Tiburon Ferry Round-Trip Ticket,16.00,USD,,,,,AF:senior,cash
AF:local:single,Angel Island Tiburon Ferry Round-Trip Ticket,15.00,USD,,,,,AF:child,cash
AF:local:single,Angel Island Tiburon Ferry Round-Trip Ticket,6.00,USD,,,,,AF:small-child,cash
AF:local:single,Angel Island Tiburon Ferry Round-Trip Ticket,0.00,USD,,,,,AF:toddler,cash
AM:matrix:AM:ARN-AM:BRK,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:DAV,generated,17.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:EMY,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:FFV,generated,24.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:FMT,generated,43.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:GAC,generated,43.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:HAY,generated,39.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:MTZ,generated,31.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:OAC,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:OKJ,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:RIC,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:RLN,generated,6.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:RSV,generated,8.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:SAC,generated,15.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:SCC,generated,43.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:SFC,generated,41.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:SJC,generated,43.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:SUI,generated,26.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:DAV,generated,24.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:EMY,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:FFV,generated,18.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:FMT,generated,13.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:GAC,generated,17.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:HAY,generated,9.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:MTZ,generated,11.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:OAC,generated,6.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:OKJ,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:RIC,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:RLN,generated,31.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:RSV,generated,31.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:SAC,generated,29.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:SCC,generated,19.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:SFC,generated,11.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:SJC,generated,19.00,USD,,,,,adult,cash
AM:matrix:AM:BRK-AM:SUI,generated,17.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:EMY,generated,27.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:FFV,generated,10.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:FMT,generated,31.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:GAC,generated,33.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:HAY,generated,29.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:MTZ,generated,15.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:OAC,generated,27.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:OKJ,generated,27.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:RIC,generated,23.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:RLN,generated,15.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:RSV,generated,13.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:SAC,generated,6.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:SCC,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:SFC,generated,33.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:SJC,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:DAV-AM:SUI,generated,12.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:FFV,generated,18.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:FMT,generated,13.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:GAC,generated,17.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:HAY,generated,8.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:MTZ,generated,12.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:OAC,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:OKJ,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:RIC,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:RLN,generated,32.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:RSV,generated,32.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:SAC,generated,29.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:SCC,generated,18.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:SJC,generated,19.00,USD,,,,,adult,cash
AM:matrix:AM:EMY-AM:SUI,generated,18.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:FMT,generated,27.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:GAC,generated,30.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:HAY,generated,25.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:MTZ,generated,10.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:OAC,generated,21.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:OKJ,generated,21.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:RIC,generated,16.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:RLN,generated,22.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:RSV,generated,19.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:SAC,generated,14.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:SCC,generated,32.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:SFC,generated,24.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:SJC,generated,32.00,USD,,,,,adult,cash
AM:matrix:AM:FFV-AM:SUI,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:FMT-AM:GAC,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:FMT-AM:HAY,generated,6.00,USD,,,,,adult,cash
AM:matrix:AM:FMT-AM:MTZ,generated,20.00,USD,,,,,adult,cash
AM:matrix:AM:FMT-AM:OAC,generated,9.00,USD,,,,,adult,cash
AM:matrix:AM:FMT-AM:OKJ,generated,11.00,USD,,,,,adult,cash
